index,origi,name,is_slack,area,lat,lon,n_neighbors,nominal_voltage_kv
604,5274,36047070202,0,3,40.594,-73.892,2,138
605,5277,36047072200,0,3,40.632,-73.924,1,138
606,5306,36047078200,0,3,40.638,-73.941,1,138
607,5316,36047079802,0,3,40.658,-73.961,2,138
608,5321,36047080800,0,3,40.657,-73.939,2,138
609,5324,36047081600,0,3,40.654,-73.944,3,138
610,5332,36047083200,0,3,40.642,-73.942,2,138
611,5341,36047085400,0,3,40.645,-73.944,3,138
612,5342,36047085600,0,3,40.649,-73.945,2,138
613,5353,36047087800,0,3,40.659,-73.931,2,138
614,5354,36047088000,0,3,40.662,-73.931,2,138
615,5359,36047089000,0,3,40.657,-73.915,2,138
616,5362,36047089600,0,3,40.658,-73.912,2,138
617,5366,36047090600,0,3,40.67,-73.909,2,138
618,5370,36047091600,0,3,40.659,-73.909,2,138
619,5371,36047091800,0,3,40.662,-73.905,2,138
620,5374,36047092400,0,3,40.667,-73.911,2,138
621,5384,36047095000,0,3,40.636,-73.917,3,138
622,5415,36047105801,0,3,40.649,-73.881,3,138
623,5416,36047105804,0,3,40.646,-73.883,1,138
624,5420,36047110400,0,3,40.657,-73.889,3,138
625,5421,36047110600,0,3,40.657,-73.884,2,138
626,5422,36047111000,0,3,40.661,-73.881,2,138
627,5423,36047111600,0,3,40.664,-73.876,2,138
628,5424,36047111800,0,3,40.669,-73.876,2,138
629,5433,36047114201,0,3,40.68,-73.897,2,138
630,5435,36047114400,0,3,40.673,-73.899,2,138
631,5439,36047115600,0,3,40.668,-73.896,2,138
632,5451,36047117602,0,3,40.686,-73.874,2,138
633,5452,36047117800,0,3,40.682,-73.874,2,138
634,5453,36047118000,0,3,40.689,-73.878,3,138
635,5454,36047118201,0,3,40.688,-73.872,2,138
636,5455,36047118202,0,3,40.689,-73.869,2,138
637,5461,36047119400,0,3,40.673,-73.877,2,138
638,5462,36047119600,0,3,40.676,-73.873,3,138
639,5470,36047123700,0,3,40.697,-73.957,2,138
640,5475,36049950300,0,9,43.854,-75.626,3,138
641,5480,36051030100,0,5,42.953,-77.829,2,138
642,5482,36051030202,0,5,42.847,-77.727,1,138
643,5495,36053030501,0,9,42.928,-75.85,2,138
644,5497,36053030700,0,9,42.88,-75.691,2,138
645,5499,36053030900,0,9,42.815,-75.542,2,138
646,5516,36055001800,0,2,43.196,-77.653,1,138
647,5517,36055001900,0,2,43.199,-77.631,1,138
648,5518,36055002000,0,2,43.19,-77.634,2,138
649,5520,36055002200,0,2,43.181,-77.64,2,138
650,5521,Rochester 5,0,2,43.175,-77.633,2,138
651,5534,36055003805,0,2,43.12,-77.628,1,138
652,5547,36055005400,0,2,43.174,-77.568,2,138
653,5549,36055005600,0,2,43.168,-77.581,2,138
654,5550,36055005700,0,2,43.165,-77.576,2,138
655,5552,36055005900,0,2,43.16,-77.574,2,138
656,5574,36055008301,0,2,43.182,-77.567,2,138
657,5576,36055008500,0,2,43.251,-77.616,1,138
658,5579,36055008702,0,2,43.151,-77.662,4,138
659,5590,36055010100,0,2,43.247,-77.596,2,138
660,5594,36055010500,0,2,43.22,-77.578,2,138
661,5597,36055010700,0,2,43.226,-77.549,2,138
662,5601,36055011000,0,2,43.185,-77.544,2,138
663,5603,36055011201,0,2,43.22,-77.521,2,138
664,5605,36055011205,0,2,43.222,-77.482,2,138
665,5606,36055011207,0,2,43.206,-77.494,4,138
666,5607,36055011208,0,2,43.205,-77.459,3,138
667,5608,36055011301,0,2,43.25,-77.408,2,138
