index,from_bus,to_bus,ckt,is_transformer,tr_ratio,x_pu,b_pu,s_max_pu,status
367,207,209,1,0,0,0.00207,483.0917874,2.4,1
368,207,1741,1,0,0,0.00657,152.2070015,2.93,1
369,208,213,1,0,0,0.00143,699.3006993,2.4,1
370,208,238,1,0,0,0.00248,403.2258065,2.38,1
371,210,214,1,0,0,0.00139,719.4244604,2.4,1
372,211,903,1,0,0,0.00127,787.4015748,2.4,1
373,212,217,1,0,0,0.00122,819.6721311,2.4,1
374,212,903,1,0,0,0.00153,653.5947712,2.4,1
375,213,215,1,0,0,0.00069,1449.275362,2.4,1
376,214,1741,1,0,0,0.00624,160.2564103,2.5,1
377,215,217,1,0,0,0.00137,729.9270073,2.4,1
378,215,219,1,0,0,0.00361,277.0083102,2.38,1
379,216,220,1,0,0,0.00368,271.7391304,2.61,1
380,218,1741,1,0,0,0.00299,334.4481605,3.07,1
381,219,225,1,0,0,0.00252,396.8253968,2.84,1
382,220,221,1,0,0,0.00068,1470.588235,2.4,1
383,220,1741,1,0,0,0.00457,218.8183807,2.05,1
384,221,222,1,0,0,0.00069,1449.275362,2.4,1
385,222,223,1,0,0,0.00055,1818.181818,2.4,1
386,223,227,1,0,0,0.00084,1190.47619,2.4,1
387,224,225,1,0,0,0.00206,485.4368932,2.61,1
388,224,1539,1,0,0,0.0009,1111.111111,2.19,1
389,225,232,1,0,0,0.00111,900.9009009,2.4,1
390,226,227,1,0,0,0.00097,1030.927835,2.4,1
391,226,228,1,0,0,0.00136,735.2941176,2.4,1
392,226,235,1,0,0,0.00198,505.0505051,2.05,1
393,228,229,1,0,0,0.00079,1265.822785,2.4,1
394,228,230,1,0,0,0.00232,431.0344828,2.4,1
395,229,231,1,0,0,0.00135,740.7407407,2.4,1
396,230,250,1,0,0,0.00221,452.4886878,2.4,1
397,231,233,1,0,0,0.00068,1470.588235,2.4,1
398,231,248,1,0,0,0.00572,174.8251748,2.4,1
399,231,276,1,0,0,0.00238,420.1680672,2.4,1
400,232,234,1,0,0,0.00133,751.8796992,2.38,1
401,232,236,1,0,0,0.00102,980.3921569,2.38,1
402,232,1552,1,0,0,0.00346,289.017341,2.4,1
403,233,242,1,0,0,0.00159,628.9308176,2.4,1
404,234,1553,1,0,0,0.00153,653.5947712,2.38,1
405,235,237,1,0,0,0.00087,1149.425287,2.3,1
406,236,238,1,0,0,0.00256,390.625,2.61,1
407,237,239,1,0,0,0.00243,411.5226337,2.05,1
408,239,1742,1,0,0,0.00235,425.5319149,2.61,1
409,240,241,1,0,0,0.00096,1041.666667,2.4,1
410,240,246,1,0,0,0.00063,1587.301587,2.4,1
411,241,242,1,0,0,0.00099,1010.10101,2.4,1
412,242,243,1,0,0,0.00078,1282.051282,2.4,1
413,242,245,1,0,0,0.00124,806.4516129,2.4,1
414,243,278,1,0,0,0.00178,561.7977528,2.4,1
415,244,245,1,0,0,0.00105,952.3809524,2.4,1
416,244,253,1,0,0,0.00111,900.9009009,2.4,1
417,244,278,1,0,0,0.00178,561.7977528,2.4,1
418,245,248,1,0,0,0.00317,315.4574132,2.4,1
419,245,251,1,0,0,0.00099,1010.10101,2.4,1
